City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
59,Mvuma,ZW,2021-10-11 00:08:58,-19.2792,30.5283,53.76,89,100,14.16,overcast clouds
60,Zhengjiatun,CN,2021-10-11 00:08:58,43.5064,123.5064,47.44,44,0,4.9,clear sky
61,Santa Luzia,BR,2021-10-11 00:08:59,-19.7697,-43.8514,67.1,94,100,4.38,overcast clouds
62,Saint-Philippe,RE,2021-10-11 00:06:29,-21.3585,55.7679,71.15,88,6,5.32,clear sky
63,Gangapur,IN,2021-10-11 00:08:59,26.4833,76.7167,77.86,55,0,4.94,clear sky
64,Flinders,AU,2021-10-11 00:08:59,-34.5833,150.8552,60.39,72,100,5.99,overcast clouds
65,Juneau,US,2021-10-11 00:06:57,58.3019,-134.4197,46.45,91,75,3.44,broken clouds
66,Synya,RU,2021-10-11 00:09:00,65.3718,58.0387,28.99,93,100,10.36,light snow
67,Castro,BR,2021-10-11 00:09:00,-24.7911,-50.0119,56.44,97,99,11.95,overcast clouds
68,Kumluca,TR,2021-10-11 00:09:01,36.3703,30.2869,75.06,41,0,4.56,clear sky
69,Nailsea,GB,2021-10-11 00:09:01,51.4324,-2.7585,51.53,86,20,2.3,few clouds
70,Batemans Bay,AU,2021-10-11 00:09:02,-35.7167,150.1833,60.19,49,93,8.01,overcast clouds
71,Cape Town,ZA,2021-10-11 00:06:24,-33.9258,18.4232,64.11,53,98,4.56,overcast clouds
72,Hilo,US,2021-10-11 00:06:00,19.7297,-155.09,81.39,79,75,10.36,moderate rain
73,Miles City,US,2021-10-11 00:09:03,46.4083,-105.8406,66.51,42,1,6.91,clear sky
74,Tenosique,MX,2021-10-11 00:09:03,17.4833,-91.4333,80.73,86,45,0.74,scattered clouds
75,Adrar,MR,2021-10-11 00:09:03,20.5022,-10.0711,85.53,13,91,4.81,overcast clouds
76,Luderitz,NA,2021-10-11 00:09:04,-26.6481,15.1594,71.1,35,6,4.21,clear sky
77,Carnarvon,AU,2021-10-11 00:09:04,-24.8667,113.6333,68.07,68,0,18.41,clear sky
78,Saint George,US,2021-10-11 00:08:22,37.1041,-113.5841,74.62,27,1,4.0,clear sky
79,Yar-Sale,RU,2021-10-11 00:08:00,66.8333,70.8333,26.78,82,53,7.14,broken clouds
80,Havelock,US,2021-10-11 00:09:05,34.8791,-76.9013,73.92,88,57,1.99,broken clouds
81,Geraldton,AU,2021-10-11 00:08:09,-28.7667,114.6,58.12,82,40,5.75,scattered clouds
82,Hobart,AU,2021-10-11 00:06:49,-42.8794,147.3294,55.02,48,20,1.99,few clouds
83,Severo-Kurilsk,RU,2021-10-11 00:09:05,50.6789,156.125,50.81,94,100,18.14,moderate rain
84,Oussouye,SN,2021-10-11 00:09:06,12.485,-16.5469,79.9,82,72,4.61,broken clouds
85,Grindavik,IS,2021-10-11 00:09:06,63.8424,-22.4338,37.87,93,75,3.44,broken clouds
